City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,kavieng,-2.5744,150.7967,27.84,80,62,4.7,PG,2023-07-27 08:39:34
213,usogorsk,63.4106,48.6872,17.78,79,100,4.93,RU,2023-07-27 08:39:34
214,zuwarah,32.9312,12.082,28.61,61,0,4.87,LY,2023-07-27 08:39:34
215,goure,13.9835,10.2704,31.7,47,100,3.68,NE,2023-07-27 08:39:34
216,jimma,7.6667,36.8333,21.04,87,67,0.63,ET,2023-07-27 08:39:34
217,coquimbo,-29.9533,-71.3436,13.07,90,100,1.85,CL,2023-07-27 08:39:35
218,maputo,-25.9653,32.5892,21.82,56,0,6.17,MZ,2023-07-27 08:35:48
219,marsa alam,25.0757,34.8918,36.31,43,16,3.47,EG,2023-07-27 08:39:35
220,nemuro,43.3236,145.575,18.69,93,100,1.7,JP,2023-07-27 08:39:35
221,harper,4.375,-7.7169,25.1,88,100,4.07,LR,2023-07-27 08:39:35
222,karratha,-20.7377,116.8463,23.5,40,79,2.61,AU,2023-07-27 08:38:16
223,nema,57.5067,50.5011,24.99,75,61,5.67,RU,2023-07-27 08:39:35
224,selkirk,50.1436,-96.8845,17.83,95,2,3.4,CA,2023-07-27 08:39:36
225,jijel,36.8205,5.7667,29.97,45,0,1.54,DZ,2023-07-27 08:39:36
226,yilan,24.757,121.753,30.51,94,100,7.2,TW,2023-07-27 08:39:36
227,oriximina,-1.7656,-55.8661,23.98,77,1,1.32,BR,2023-07-27 08:38:08
228,nakamura,32.9833,132.9333,29.2,71,1,1.23,JP,2023-07-27 08:39:36
229,bojia,26.4672,111.9681,31.95,68,98,3.05,CN,2023-07-27 08:39:36
230,kodiak,57.79,-152.4072,12.73,88,100,2.57,US,2023-07-27 08:39:36
231,murun-kuren,49.6342,100.1625,24.35,31,100,5.32,MN,2023-07-27 08:39:36
232,arraial do cabo,-22.9661,-42.0278,19.98,94,0,4.63,BR,2023-07-27 08:39:36
